Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
1,0,0,Автослесарь
0,0,0,Слесарь по ремонту автомобилей
0,0,0,Механик автосервиса
1,0,1,Автомеханик
0,1,0,Автомеханик/ученик автомеханика
0,1,0,Автослесарь / Стажер
0,1,0,Ученик автомеханика
0,1,0,Автослесарь/Механик/Стажер
0,1,0,Помощник автослесаря
0,1,1,Стажер автомеханик
0,1,0,Помощник автослесаря (Стажер)
0,1,0,Ученик автомеханика
0,1,0,Ученик автомеханика (Стажер)
0,2,1,Младший автомеханик
0,4,1,Главный автомеханик
0,0,0,Техник-слесарь по ремонту автомобилей
0,0,0,Ремонтник автомобилей
0,0,0,Сервисный механик
0,0,0,Мастер-автослесарь
0,0,0,Специалист по ремонту автомобилей
0,0,0,Технический специалист автосервиса
0,0,0,Ремонтник автомобильной техники
0,0,0,Автомастер
0,0,0,Механик-слесарь автосервиса
0,0,0,Специалист по диагностике и ремонту автомобилей
0,0,0,Мастер по ремонту автомобилей
0,0,0,Техник автосервиса
0,0,0,Авторемонтник
0,0,0,Специалист по ремонту автоэлектроники
0,0,0,Сервисный техник-механик
0,0,0,Ремонтник двигателей автомобилей
0,0,0,Механик по ремонту автомобильных агрегатов
0,0,0,Технический специалист по обслуживанию автомобилей
0,0,0,Специалист по ремонту подвески и тормозной системы
0,0,0,Ремонтник систем впрыска и зажигания автомобилей
0,0,0,Механик-диагностик
0,0,0,Автомеханик-наладчик
0,0,0,Специалист по ремонту кузовных элементов автомобилей
0,0,0,Ремонтник автомобильных стекол и зеркал
0,0,0,Мастер по ремонту автомобильных систем вентиляции и кондиционирования
0,1,0,Слесарь по ремонту автомобилей 1 разряд
0,2,0,Слесарь по ремонту автомобилей 2 разряд
0,2,0,Слесарь по ремонту автомобилей 3 разряд
0,2,0,Слесарь по ремонту автомобилей 4 разряд
0,3,0,Слесарь по ремонту автомобилей 5 разряд
0,3,0,Слесарь по ремонту автомобилей 6 разряд
0,4,0,Слесарь по ремонту автомобилей 7 разряд
0,1,0,Автомеханик-автослесарь стажер
0,2,0,Ведущий автомеханик-автослесарь
0,4,0,Главный автослесарь
0,4,0,Главный автомеханик-автослесарь
0,1,0,Автослесарь 1 разряд
0,2,0,Автослесарь 2 разряд
0,2,0,Автослесарь 3 разряд
0,2,0,Автослесарь 4 разряд
0,3,0,Автослесарь 5 разряд
0,3,1,Ведущий автомеханик
0,3,0,Ведущий автослесарь
0,3,0,Ведущий автомеханик-автослесарь
0,3,0,Автослесарь 6 разряд
0,4,0,Автослесарь 7 разряд
